Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Age,Customer_Tenure,Education_ord,Marital_Status_Simple,Total_Spend,Total_Campaign_Accepted,Total_Children,Has_Partner,Family_Size,Total_Purchases,Spend_per_Purchase,Income_to_Spend_Ratio,Digital_Engagement,Store_vs_Web,Spending_Diversity,Days_per_Purchase,Campaign_Response_Rate,Cluster,Segment_Name,Primary_Channel,Offer_Type,Contact_Frequency
Graduation,Married,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,44,4894,3,Partner,316,0,0,1,2,12,24.307692307692307,0.008531087173672416,12,1.0,6,376.46153846153845,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Married,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,47,4743,3,Partner,1730,0,1,1,3,43,39.31818181818182,0.7066993464052288,1,0.0,6,107.79545454545455,0.0,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
PhD,Married,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,77,4757,5,Partner,972,1,1,1,3,17,54.0,0.016584766584766583,10,3.0,3,264.27777777777777,0.16666666666666666,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
PhD,Married,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,72,4373,5,Partner,544,0,1,1,3,20,25.904761904761905,0.008327592805204745,10,1.2857142857142858,5,208.23809523809524,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Together,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,75,4672,3,Partner,444,0,1,1,3,20,21.142857142857142,0.010911771934136151,15,0.625,6,222.47619047619048,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Single,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,57,4747,3,Single,75,0,0,0,1,8,8.333333333333334,0.004034427111350188,9,1.0,6,527.4444444444445,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Married,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,50,4602,3,Partner,257,0,2,1,4,14,17.133333333333333,0.004816341829085457,12,0.6666666666666666,6,306.8,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
Graduation,Single,52028.5,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,40,4698,3,Single,637,0,1,0,2,27,22.75,,28,0.0,6,167.78571428571428,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Married,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,37,4598,3,Partner,131,0,1,1,3,9,13.1,0.003414926618179922,5,1.3333333333333333,6,459.8,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
PhD,Married,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,61,4423,5,Partner,1672,1,0,1,2,26,61.925925925925924,0.019759155745163615,8,1.4285714285714286,5,163.8148148148148,0.16666666666666666,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Master,Divorced,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,37,4242,4,Single,30,0,0,0,1,8,3.3333333333333335,0.00273224043715847,8,0.75,6,471.3333333333333,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Master,Together,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,63,4618,4,Partner,318,0,0,1,2,11,26.5,0.008233862406462806,5,1.0,6,384.8333333333333,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Together,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,56,4831,3,Partner,120,1,1,1,3,9,12.0,0.002959382475523441,7,1.3333333333333333,4,483.1,0.16666666666666666,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,1,74,4812,5,Single,302,1,2,0,3,17,16.77777777777778,0.006479157280470276,10,1.2,6,267.3333333333333,0.16666666666666666,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Master,Married,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,80,4698,4,Partner,1196,0,0,1,2,18,62.94736842105263,0.017419674327827785,10,2.25,6,247.26315789473685,0.0,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Master,Single,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,75,4508,4,Single,65,0,2,0,3,6,9.285714285714286,0.0013160558817574407,9,1.0,5,644.0,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
PhD,Married,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,56,4384,5,Partner,913,0,1,1,3,28,31.482758620689655,0.01355524541972266,7,2.0,5,151.17241379310346,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
2n Cycle,Married,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,50,4504,2,Partner,81,0,1,1,3,9,8.1,0.0034149837682870272,10,0.5,6,450.4,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Widow,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,53,4342,3,Single,67,0,1,0,2,7,8.375,0.0015790714117369785,6,1.5,4,542.75,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
PhD,Divorced,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,1,83,4717,5,Single,902,2,0,0,1,24,36.08,0.01842734274448916,13,0.625,6,188.68,0.3333333333333333,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Married,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,46,4630,3,Partner,1395,0,1,1,3,21,63.40909090909091,0.017434884767284907,12,0.5555555555555556,6,210.45454545454547,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Master,Married,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,41,4678,4,Partner,53,0,1,1,3,7,6.625,0.0025778210116731517,10,1.0,5,584.75,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Together,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,69,4756,3,Partner,22,0,1,1,3,4,4.4,0.0010002273243919072,5,3.0,5,951.2,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
PhD,Single,55212.0,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,67,4440,5,Single,186,0,0,0,1,9,18.6,,3,2.0,6,444.0,0.0,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Master,Married,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,51,4474,4,Partner,31,0,1,1,3,8,3.4444444444444446,0.0041327822956939075,7,1.0,6,497.1111111111111,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Single,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,50,4205,3,Single,984,0,0,0,1,16,57.88235294117647,0.012308923969878162,3,3.0,6,247.35294117647058,0.0,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
2n Cycle,Married,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1,30,4801,2,Partner,122,1,0,1,2,10,11.090909090909092,0.01626449806692441,12,0.75,6,436.45454545454544,0.16666666666666666,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Together,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,58,4605,3,Partner,55,0,1,1,3,5,9.166666666666666,0.0013180282297682666,12,0.6666666666666666,6,767.5,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Single,52028.5,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,75,4383,3,Single,124,0,3,0,4,10,11.272727272727273,,8,1.3333333333333333,6,398.45454545454544,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
PhD,Married,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,72,4802,5,Partner,1319,0,2,1,4,28,45.48275862068966,0.018180314537359927,13,2.0,6,165.58620689655172,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Widow,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,69,4252,3,Single,507,0,1,0,2,17,28.166666666666668,0.0077419945943469695,6,2.0,6,236.22222222222223,0.0,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Master,Married,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,62,4891,4,Partner,1693,0,0,1,2,29,56.43333333333333,0.021391387849994947,9,1.8571428571428572,6,163.03333333333333,0.0,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Single,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,49,4747,3,Single,72,0,1,0,2,7,9.0,0.0020116789136933864,9,1.0,6,593.375,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Divorced,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,1,49,4226,3,Single,1617,3,0,0,1,21,73.5,0.019580301030478427,5,1.4,6,192.0909090909091,0.5,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Married,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,48,4586,3,Partner,606,0,2,1,4,23,25.25,0.009130081055835116,7,2.0,6,191.08333333333334,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Master,Together,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,1,71,4791,4,Partner,1957,2,0,1,2,27,69.89285714285714,0.023754324209504157,4,3.25,6,171.10714285714286,0.3333333333333333,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Divorced,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1,60,4657,3,Single,1093,1,0,0,1,21,49.68181818181818,0.015550307307079445,8,1.6666666666666667,6,211.6818181818182,0.16666666666666666,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Single,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,38,4266,3,Single,29,0,1,0,2,6,4.142857142857143,0.0010379755896775117,4,2.0,5,609.4285714285714,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Single,52028.5,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,44,4581,3,Single,46,0,1,0,2,7,5.75,,8,1.0,6,572.625,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
PhD,Married,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,58,4322,5,Partner,518,0,1,1,3,19,25.9,0.009257439013492985,15,0.6666666666666666,3,216.1,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Master,Single,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1,44,4564,4,Single,1438,3,0,0,1,21,65.36363636363636,0.018976483939929796,4,2.75,6,207.45454545454547,0.5,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Together,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,51,4864,3,Partner,612,0,2,1,4,22,26.608695652173914,0.009181744531460978,7,2.4,6,211.47826086956522,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Single,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,74,4700,3,Single,884,0,1,0,2,24,35.36,0.014298654244306418,15,1.1111111111111112,6,188.0,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
PhD,Widow,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,75,4587,5,Single,606,0,1,0,2,19,30.3,0.00895376841358727,12,1.0,4,229.35,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Together,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,78,4409,3,Partner,1076,0,0,1,2,16,63.294117647058826,0.015226343271965698,11,0.5,6,259.3529411764706,0.0,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Married,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,1,55,4608,3,Partner,34,1,1,1,3,5,5.666666666666667,0.0013218256745198662,8,1.0,6,768.0,0.16666666666666666,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Together,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,59,4253,3,Partner,11,0,2,1,4,4,2.2,0.0003387220939183988,8,1.0,2,850.6,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
2n Cycle,Single,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,1,47,4306,2,Single,1274,3,1,0,2,32,38.60606060606061,0.014445263336923862,16,0.8333333333333334,6,130.4848484848485,0.5,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Together,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,68,4479,3,Partner,653,0,1,1,3,18,34.36842105263158,0.009450482654818588,9,1.6666666666666667,6,235.73684210526315,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Together,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,56,4651,3,Partner,1562,0,3,1,5,19,78.1,0.020867009551800146,7,1.6666666666666667,6,232.55,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Master,Married,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,72,4860,4,Partner,1253,0,0,1,2,21,56.95454545454545,0.01870372581800812,7,1.2,6,220.9090909090909,0.0,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
2n Cycle,Married,46805.0,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,53,4857,2,Partner,109,0,1,1,3,9,10.9,,11,0.75,6,485.7,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Married,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,67,4673,3,Partner,863,0,1,1,3,30,27.838709677419356,0.013270389961864928,17,1.1818181818181819,6,150.74193548387098,0.0,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
PhD,Married,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,51,4654,5,Partner,661,1,2,1,4,24,26.44,0.010901834015041563,16,0.8,5,186.16,0.16666666666666666,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Married,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,74,4264,3,Partner,65,0,0,1,2,8,7.222222222222222,0.0022941446369957293,4,1.3333333333333333,6,473.77777777777777,0.0,3,Traditional Price-Sensitive,"SMS, In-store Signage",Clear Price Discounts,Event-based (seasonal)
Graduation,Divorced,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,49,4761,3,Single,13,0,1,0,2,4,2.6,0.000323005441399359,7,1.0,6,952.2,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Master,Married,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,1,54,4875,4,Partner,1890,1,0,1,2,19,94.5,0.0251156115452081,12,0.625,6,243.75,0.16666666666666666,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
Graduation,Single,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,1,50,4829,3,Single,2209,2,0,0,1,22,96.04347826086956,0.02913248753725635,9,1.5,6,209.95652173913044,0.3333333333333333,0,Budget-Conscious Educated,"Email, Newsletter",Discount & Value Bundles,Monthly
2n Cycle,Together,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0,50,4502,2,Partner,18,0,0,1,2,4,3.6,0.0006837087400767273,3,3.0,4,900.4,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Together,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,1,61,4747,3,Partner,692,2,0,1,2,21,31.454545454545453,0.01234678038075187,18,0.7272727272727273,3,215.77272727272728,0.3333333333333333,2,Premium High-Value,"Personalized Email, Premium Catalog",Exclusive Products & Loyalty Rewards,Monthly (premium)
Graduation,Single,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,41,4873,3,Single,165,0,1,0,2,12,12.692307692307692,0.005544168542723699,11,1.0,6,374.84615384615387,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
Graduation,Married,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,57,4575,3,Partner,16,0,1,1,3,4,3.2,0.0006082493822467212,8,1.0,5,915.0,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
2n Cycle,Married,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,53,4565,2,Partner,79,0,1,1,3,9,7.9,0.0033531409168081495,10,0.75,5,456.5,0.0,1,Digital Mid-Value,"App Notifications, Email",Cross-sell & Product Bundles,Bi-weekly
